Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubness,Authority,Grafo
David La Barbera,0.11842105263157894,0.041588972431077696,0.49673202614379086,0.03405587405385561,0.04346904512160737,0.04346904512160736,Grafo Originale
Kevin Roitero,0.2631578947368421,0.21626399331662471,0.5757575757575758,0.0775016796307573,0.06512076712580046,0.06512076712580042,Grafo Originale
Stefano Mizzaro,0.2631578947368421,0.2816441102756892,0.5757575757575758,0.08365743073915234,0.05844827284732529,0.058448272847325365,Grafo Originale
Gianluca Demartini,0.2763157894736842,0.33126900584795294,0.5801526717557252,0.09145296783478074,0.055122979761500296,0.05512297976150036,Grafo Originale
Damiano Spina,0.2763157894736842,0.34132247284878847,0.5390070921985816,0.09493115461392151,0.04893412909649858,0.048934129096498614,Grafo Originale
Michael Soprano,0.23684210526315788,0.1961127819548872,0.5671641791044776,0.06959577890405749,0.06024959138905678,0.06024959138905673,Grafo Originale
Vincenzo Della Mea,0.06578947368421052,0.0012865497076023386,0.4393063583815029,0.018831222752621838,0.033517998844734456,0.03351799884473447,Grafo Originale
Davide Ceolin,0.05263157894736842,0.0012865497076023386,0.41304347826086957,0.015275800067561,0.026566088041004125,0.02656608804100414,Grafo Originale
Tim Draws,0.02631578947368421,0.0,0.3671497584541063,0.008451234372164091,0.012336424578192829,0.01233642457819283,Grafo Originale
Joel Mackenzie,0.013157894736842105,0.0,0.3333333333333333,0.005164588133181427,0.005170262690192943,0.005170262690192943,Grafo Originale
Beatrice Portelli,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343194,0.014911707521343206,Grafo Originale
Giuseppe Serra,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999886,0.0071661618879998905,Grafo Originale
Shaoyang Fan,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343194,0.014911707521343198,Grafo Originale
Giuseppe Primiero,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999886,0.0071661618879998975,Grafo Originale
Jan Wielemaker,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999886,0.007166161887999885,Grafo Originale
Alessandro Checco,0.05263157894736842,0.0,0.4393063583815029,0.01576092099449492,0.027952221628572516,0.027952221628572527,Grafo Originale
Afshin Rahimi,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999886,0.0071661618879998844,Grafo Originale
Andrea Brunello,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343194,0.014911707521343201,Grafo Originale
Tetsuya Sakai,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999886,0.007166161887999891,Grafo Originale
Eddy Maddalena,0.2763157894736842,0.273436090225564,0.5205479452054794,0.08723342627726265,0.05451529784697347,0.0545152978469735,Grafo Originale
Mihai Horia Popescu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343314,Grafo Originale
